PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
A0A075B6S2;A0A0A0MRZ7;A2NJV5,IGKV2D-29;IGKV2D-26;IGKV2-29,1180490.25,693368.8125,1229717.75,642243.25,583129.375,1067749.25,1032440.875,676277.875,1031558.25,731036.125,628441.5625,466255.2188,911129.8125,746547.4375,938494.125,1390828,842386.25,768932.9375
A2A5Y0,TREMBL:A2A5Y0,2643.740234,1374.711426,4083.621582,2643.482178,330157.0625,3484.952148,5814.516602,2449.116211,1242.021729,1614.436035,1807.863281,347.510498,2721.554199,2851.426514,5919.464844,3707.233398,3030.157471,1296.947144
A8MWD9;P62308,SNRPGP15;SNRPG,73755.35938,17881.16992,65322.53906,26250.99023,1820.320801,47698.17188,28868.61914,19051.83984,12803.03711,11821.64648,14465.59961,2340.745117,5196.951172,4057.321289,8091.12207,12494.89355,49431.73828,8722.176758
E9PAV3;Q13765,NACA,3929.730957,22561.84961,4434.964844,8696.162109,4754.764648,7268.072266,3896.763184,8919.686523,6245.608398,5656.11084,6580.702637,7827.871094,2176.348877,18636.24609,3291.805176,6447.382324,1530.233643,16310.69531
ENSEMBL:ENSBTAP00000024146,(Bos,60480,17920.38086,26388.98633,27145.63281,24154.60547,50241.63672,2465.849121,1463.557983,8787.017578,10566.61523,18637.72656,8809.542969,1562.24646,14220.72168,17945.11328,1231.351685,31040.03711,20938.79297
ENSEMBL:ENSBTAP00000038253,(Bos,2775.663574,72168.09375,50913.24609,43098.26172,41888.14453,1318.353516,236891.9219,49322.25781,28602.83984,1904.141113,28364.0957,3681.600342,1643.745605,41337.98438,3811.630127,16191.15625,2258.637207,2270.102539
O00148;Q13838,DDX39A;DDX39B,2995.240723,41110.40625,62392.13672,58113.17578,37089.90234,70884.45313,59716.69922,30826.97656,30912.80859,44830.81641,56613.67188,17367.875,30176.93164,25563.07813,39323.125,57540.81641,69567.85938,32756.09766
O00159,MYO1C,4593.572266,5203.367188,5274.922363,6460.499023,3577.641846,7580.970215,2956.892822,1145.005371,1649.5448,1175.035278,1143.858154,606.4547119,2053.524414,1907.976074,3470.29834,1646.810547,1587.833862,2026.737061
O00203,AP3B1,3802.236328,1553.250366,1967.754639,1454.6604,920.8459473,913.6618652,4726.950195,8361.019531,12308.55859,59924.49219,57873.52344,41702.32813,7286.813965,9202.386719,6700.291504,21210.91797,19259.82031,9539.246094
O00231,PSMD11,2481.923584,14685.33984,12200.13184,13034.18652,11793.78809,12020.45215,4620.562012,7957.303711,17218.26758,8859.334961,12437.7002,8114.351563,13469.65332,1787.215454,5498.932617,1726.922241,2480.819824,2036.692139
